NVDA,NVIDIA Corporation,4.97T,205.19,0.16%,253.49B
GOOGL,Alphabet Inc.,4.39T,359.68,0.53%,422.50B
GOOG,Alphabet Inc.,4.36T,358.16,0.45%,422.50B
AAPL,Apple Inc.,4.28T,291.13,-1.52%,451.44B
MSFT,Microsoft Corporation,2.90T,390.74,0.10%,318.27B
AMZN,"Amazon.com, Inc.",2.57T,238.55,-1.23%,742.78B
AVGO,Broadcom Inc.,1.82T,382.07,-0.91%,75.47B
TSLA,"Tesla, Inc.",1.53T,406.43,1.82%,97.88B
META,"Meta Platforms, Inc.",1.44T,566.98,-0.26%,214.96B
MU,"Micron Technology, Inc.",1.11T,981.61,-1.43%,58.12B
BRK.B,Berkshire Hathaway Inc.,1.05T,489.25,0.71%,375.39B
LLY,Eli Lilly and Company,1.01T,"1,133.00",-2.41%,72.25B
WMT,Walmart Inc.,963.25B,121.04,0.45%,725.31B
JPM,JPMorgan Chase & Co.,859.37B,320.72,2.31%,173.56B
AMD,"Advanced Micro Devices, Inc.",834.17B,511.57,4.73%,37.45B
INTC,Intel Corporation,626.09B,124.57,6.51%,53.76B
XOM,Exxon Mobil Corporation,609.28B,147.01,0.28%,326.01B
V,Visa Inc.,607.35B,322.39,1.05%,43.03B
JNJ,Johnson & Johnson,579.83B,240.87,1.07%,96.36B
ORCL,Oracle Corporation,529.57B,184.13,0.02%,67.36B
CSCO,"Cisco Systems, Inc.",477.31B,121.10,-0.60%,60.75B
LRCX,Lam Research Corporation,458.72B,366.81,1.18%,21.68B
AMAT,"Applied Materials, Inc.",450.37B,567.25,2.64%,29.02B
COST,Costco Wholesale Corporation,435.69B,982.35,0.68%,293.59B
MA,Mastercard Incorporated,432.94B,489.98,0.71%,33.94B
CAT,Caterpillar Inc.,419.40B,910.57,1.44%,70.76B
ABBV,AbbVie Inc.,402.35B,227.73,1.32%,62.82B
BAC,Bank of America Corporation,397.55B,56.02,1.56%,109.59B
UNH,UnitedHealth Group Incorporated,371.00B,408.52,0.73%,449.71B
CVX,Chevron Corporation,370.21B,187.22,0.75%,185.74B
KO,The Coca-Cola Company,355.47B,82.62,0.11%,49.28B
GE,GE Aerospace,349.83B,335.30,0.76%,48.31B
PG,The Procter & Gamble Company,348.38B,149.61,0.86%,86.72B
NFLX,"Netflix, Inc.",338.30B,80.34,-1.14%,46.89B
MS,Morgan Stanley,337.60B,214.04,0.65%,73.17B
KLAC,KLA Corporation,332.50B,254.54,5.55%,13.10B
HD,"The Home Depot, Inc.",327.44B,328.39,0.73%,166.59B
GS,"The Goldman Sachs Group, Inc.",325.84B,"1,062.75",2.62%,61.53B
PLTR,Palantir Technologies Inc.,306.83B,127.99,-2.36%,5.22B
MRK,"Merck & Co., Inc.",294.03B,119.05,-1.42%,65.77B
SNDK,Sandisk Corporation,293.23B,"1,980.10",5.24%,13.18B
PM,Philip Morris International Inc.,287.24B,184.30,1.95%,41.49B
TXN,Texas Instruments Incorporated,274.05B,301.12,1.35%,18.44B
DELL,Dell Technologies Inc.,256.37B,395.57,1.05%,134.00B
WFC,Wells Fargo & Company,256.23B,83.73,1.61%,81.14B
IBM,International Business Machines Corporation,255.87B,272.24,-0.95%,68.91B
GEV,GE Vernova Inc.,252.77B,940.66,3.74%,39.38B
RTX,RTX Corporation,247.16B,183.53,-0.37%,90.37B
LIN,Linde plc,242.07B,523.57,1.58%,34.66B
C,Citigroup Inc.,238.49B,139.83,1.27%,78.73B
